epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0743,1.56887,3.26835,1.38598,0.01952,0.54348,0.11767,0.07618,1.9067,3.78018,1.34791,0.00036674,0.00036674,0.00036674
2,60.9647,1.55785,2.66189,1.24875,0.01817,0.53804,0.45905,0.31861,2.01612,3.44169,1.2819,0.000657319,0.000657319,0.000657319
3,88.9527,1.60969,2.01874,1.25071,0.96322,0.45388,0.48127,0.32468,1.84845,3.05021,1.19941,0.000853004,0.000853004,0.000853004
4,112.043,1.63173,1.7595,1.28717,0.98049,0.47297,0.63395,0.3473,1.9937,2.28687,1.34896,0.000953795,0.000953795,0.000953795
5,136.292,1.59065,1.56532,1.26836,0.66098,0.66226,0.62417,0.36175,2.07471,1.71701,1.33088,0.000841835,0.000841835,0.000841835
6,159.803,1.51747,1.44344,1.24269,0.73231,0.71493,0.69493,0.3929,2.03955,1.57586,1.33117,0.000635544,0.000635544,0.000635544
7,185.607,1.4864,1.38786,1.23036,0.74726,0.75656,0.74058,0.42864,1.8515,1.59943,1.26544,0.000429253,0.000429253,0.000429253
8,210.728,1.46769,1.25498,1.21923,0.79164,0.74829,0.74454,0.44136,1.83944,1.43954,1.24882,0.000222961,0.000222961,0.000222961
