epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.413,1.53718,3.34817,1.41247,0.01917,0.54891,0.06352,0.03726,1.40978,3.42277,1.18046,0.00018337,0.00018337,0.00018337
2,213.596,1.51754,2.88195,1.24604,0.01813,0.54891,0.18337,0.11971,1.17299,3.2359,1.03088,0.000379614,0.000379614,0.000379614
3,404.052,1.58383,2.38112,1.23862,0.92767,0.15983,0.3985,0.23385,1.4675,3.01151,1.12157,0.000571898,0.000571898,0.000571898
4,788.478,1.65928,1.82303,1.27462,0.98359,0.39821,0.47261,0.26048,1.73523,2.57949,1.25189,0.00076022,0.00076022,0.00076022
5,1162.47,1.54963,1.51576,1.25695,0.98925,0.47297,0.5526,0.33654,1.54327,2.1723,1.19476,0.000944582,0.000944582,0.000944582
6,1283.3,1.54634,1.35784,1.25055,0.95224,0.47748,0.66755,0.36977,1.56299,1.5839,1.18978,0.00112498,0.00112498,0.00112498
7,1367.67,1.51361,1.25702,1.23723,0.51667,0.57888,0.57784,0.34576,1.60019,1.19578,1.2606,0.00130142,0.00130142,0.00130142
8,1591.3,1.4882,1.22128,1.23713,0.59078,0.58402,0.62279,0.35555,1.52346,1.0861,1.21153,0.0014739,0.0014739,0.0014739
9,1774.68,1.51567,1.15241,1.21634,0.59662,0.60605,0.63708,0.37643,1.43296,1.26043,1.14669,0.00153497,0.00153497,0.00153497
10,1934.91,1.45721,1.23204,1.20873,0.61666,0.70931,0.66442,0.42486,1.3032,1.02302,1.09426,0.00151847,0.00151847,0.00151847
11,2105.29,1.4618,1.13951,1.21432,0.75,0.74971,0.72839,0.44002,1.26047,1.1162,1.10518,0.00150197,0.00150197,0.00150197
12,2239.87,1.5042,1.20423,1.22452,0.67587,0.62779,0.64137,0.37939,1.39826,0.99992,1.12757,0.00148546,0.00148546,0.00148546
13,2393.41,1.45621,1.16403,1.19486,0.65359,0.62779,0.63645,0.40033,1.34112,1.07175,1.11348,0.00146896,0.00146896,0.00146896
14,2596.07,1.3927,1.05938,1.15606,0.68538,0.72249,0.66489,0.41357,1.3189,1.1252,1.11587,0.00145246,0.00145246,0.00145246
15,2822.15,1.44111,1.11776,1.18046,0.68075,0.71303,0.65743,0.37659,1.4806,1.15144,1.17445,0.00143595,0.00143595,0.00143595
16,2961.07,1.37794,1.10714,1.16018,0.50328,0.74006,0.62552,0.35712,1.49652,1.16818,1.17222,0.00141945,0.00141945,0.00141945
17,3072,1.41333,1.0501,1.17141,0.67143,0.69998,0.64908,0.38606,1.42361,1.09062,1.13484,0.00140295,0.00140295,0.00140295
18,3185.34,1.33769,0.99477,1.13723,0.64218,0.76273,0.69498,0.42566,1.21377,1.0919,1.06718,0.00138644,0.00138644,0.00138644
19,3345.79,1.39081,1.03923,1.15816,0.4224,0.72826,0.53998,0.29338,1.61411,1.39516,1.24044,0.00136994,0.00136994,0.00136994
20,3457.7,1.32151,1.03156,1.13107,0.50757,0.80435,0.64396,0.41154,1.22369,1.02159,1.05641,0.00135344,0.00135344,0.00135344
21,3565.37,1.37362,1.0746,1.15324,0.75623,0.74471,0.73217,0.4111,1.42288,0.89811,1.12261,0.00133693,0.00133693,0.00133693
