epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,3713.57,1.35255,1.05467,1.13663,0.6217,0.75372,0.68496,0.43663,1.21213,0.91362,1.0395,0.00132043,0.00132043,0.00132043
23,3810.18,1.36406,0.99111,1.13456,0.39624,0.73463,0.56326,0.38427,1.22769,1.31465,1.05462,0.00130393,0.00130393,0.00130393
24,3899.93,1.36705,1.01283,1.13349,0.67861,0.74079,0.68346,0.39797,1.38929,0.99599,1.12845,0.00128742,0.00128742,0.00128742
25,4039.37,1.30785,0.97058,1.11875,0.54373,0.75279,0.61996,0.40407,1.30346,0.99137,1.07354,0.00127092,0.00127092,0.00127092
26,4198.44,1.33985,1.00354,1.14076,0.4872,0.74099,0.59585,0.39425,1.2875,1.05522,1.05909,0.00125442,0.00125442,0.00125442
27,4628.31,1.33223,0.95153,1.139,0.71379,0.73873,0.7011,0.41145,1.37137,0.95753,1.09023,0.00123791,0.00123791,0.00123791
28,4907.65,1.33607,0.97296,1.12605,0.73339,0.76816,0.71265,0.44049,1.24784,0.8709,1.05988,0.00122141,0.00122141,0.00122141
29,5134.34,1.33465,0.97534,1.12725,0.80162,0.7854,0.76734,0.4449,1.32914,0.8298,1.08326,0.00120491,0.00120491,0.00120491
30,5282.38,1.28598,0.99285,1.09882,0.73585,0.75823,0.7537,0.42771,1.41023,0.89273,1.11965,0.0011884,0.0011884,0.0011884
31,5378.33,1.31396,0.96806,1.11169,0.72534,0.68214,0.65943,0.29713,1.93379,1.00035,1.43797,0.0011719,0.0011719,0.0011719
32,5462.87,1.26515,0.87022,1.10483,0.68762,0.72018,0.70446,0.40434,1.37761,0.90949,1.13737,0.0011554,0.0011554,0.0011554
33,5557.33,1.28498,0.9114,1.10154,0.77397,0.77358,0.7417,0.41269,1.39042,0.90041,1.11621,0.00113889,0.00113889,0.00113889
34,5637.04,1.32438,0.97367,1.12375,0.73018,0.79534,0.7464,0.4259,1.36351,0.90469,1.09331,0.00112239,0.00112239,0.00112239
35,5714.56,1.29594,0.91389,1.09423,0.81527,0.82059,0.80705,0.48514,1.22352,0.8007,1.04648,0.00110589,0.00110589,0.00110589
36,5793.4,1.25155,0.87754,1.084,0.79041,0.78145,0.7717,0.45446,1.30946,0.84896,1.08174,0.00108938,0.00108938,0.00108938
37,5879.22,1.29967,0.97483,1.11452,0.71438,0.72885,0.69089,0.41063,1.38407,1.02319,1.11729,0.00107288,0.00107288,0.00107288
38,5965.13,1.26751,0.92317,1.10132,0.75105,0.7403,0.72506,0.46168,1.22815,0.86636,1.05541,0.00105638,0.00105638,0.00105638
39,6184.17,1.29216,0.91015,1.10465,0.80754,0.7809,0.78269,0.48164,1.18468,0.82406,1.03949,0.00103987,0.00103987,0.00103987
40,6260.97,1.22422,0.88784,1.07875,0.78132,0.78103,0.77754,0.47035,1.22497,0.8196,1.04896,0.00102337,0.00102337,0.00102337
41,6345.04,1.25434,0.87053,1.09244,0.78424,0.7829,0.77375,0.48266,1.16364,0.81535,1.04301,0.00100687,0.00100687,0.00100687
42,6444.96,1.25913,0.86004,1.10211,0.78649,0.80714,0.79123,0.49858,1.1841,0.81298,1.02674,0.000990365,0.000990365,0.000990365
43,6585.6,1.27586,0.91151,1.10746,0.77311,0.75823,0.75636,0.46668,1.17606,0.79579,1.03337,0.000973861,0.000973861,0.000973861
44,6774.1,1.29719,0.8833,1.1154,0.81935,0.78815,0.80992,0.48671,1.25386,0.77359,1.04714,0.000957358,0.000957358,0.000957358
45,6971.52,1.27124,0.81847,1.09833,0.77354,0.77903,0.7892,0.46175,1.30804,0.80712,1.06912,0.000940855,0.000940855,0.000940855
46,7306.02,1.26039,0.86941,1.10034,0.83875,0.75603,0.78997,0.49184,1.18427,0.7837,1.0367,0.000924352,0.000924352,0.000924352
47,7630.21,1.24677,0.84276,1.07897,0.78559,0.80714,0.78479,0.48568,1.19198,0.81853,1.03394,0.000907848,0.000907848,0.000907848
48,7942.77,1.22895,0.81977,1.08148,0.71738,0.7736,0.73029,0.46439,1.20506,0.83931,1.03603,0.000891345,0.000891345,0.000891345
49,8249.45,1.2339,0.85182,1.07802,0.79754,0.79627,0.77437,0.47306,1.20105,0.80708,1.03569,0.000874842,0.000874842,0.000874842
50,8554.67,1.25475,0.86504,1.09126,0.82921,0.78567,0.80481,0.49816,1.19728,0.80374,1.03589,0.000858338,0.000858338,0.000858338
51,8883.2,1.23401,0.78918,1.06919,0.81559,0.77903,0.79874,0.49245,1.17948,0.80099,1.02763,0.000841835,0.000841835,0.000841835
