epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2439.19,1.29031,0.92278,1.26247,0.79106,0.68051,0.70983,0.45279,1.30101,1.1253,1.27911,0.000990365,0.000990365,0.000990365
43,2494.36,1.3131,0.95579,1.26401,0.86301,0.73105,0.76194,0.45299,1.36474,1.04553,1.31659,0.000973861,0.000973861,0.000973861
44,2551.21,1.29466,0.95276,1.26194,0.84769,0.73672,0.78624,0.48163,1.27039,0.96008,1.25817,0.000957358,0.000957358,0.000957358
45,2611.88,1.25508,0.87207,1.23176,0.85381,0.75279,0.78923,0.47726,1.31451,0.96204,1.25766,0.000940855,0.000940855,0.000940855
46,2670.88,1.25355,0.93111,1.23372,0.81984,0.76366,0.77952,0.45559,1.34511,0.97197,1.29233,0.000924352,0.000924352,0.000924352
47,2730.96,1.2404,0.88116,1.20232,0.88486,0.75279,0.81267,0.482,1.3259,0.94701,1.28507,0.000907848,0.000907848,0.000907848
48,2787.49,1.24431,0.89146,1.22103,0.80524,0.77996,0.80461,0.49109,1.30573,0.97721,1.27404,0.000891345,0.000891345,0.000891345
49,2846.01,1.2384,0.88215,1.21715,0.76212,0.72478,0.71986,0.4295,1.42234,1.04473,1.3574,0.000874842,0.000874842,0.000874842
50,2901.45,1.28186,0.9321,1.25112,0.7914,0.7854,0.80759,0.49399,1.27837,0.9368,1.24183,0.000858338,0.000858338,0.000858338
51,2962.11,1.24983,0.87166,1.21714,0.80593,0.77486,0.79262,0.4754,1.30513,0.98744,1.27719,0.000841835,0.000841835,0.000841835
52,3022.91,1.24022,0.88259,1.2265,0.77243,0.72597,0.74165,0.46177,1.34489,1.11435,1.31805,0.000825332,0.000825332,0.000825332
53,3083.21,1.20177,0.83076,1.20113,0.70075,0.66613,0.6481,0.41799,1.36103,1.16204,1.28825,0.000808828,0.000808828,0.000808828
54,3140.26,1.21309,0.89375,1.22258,0.84532,0.74192,0.79593,0.47942,1.34374,0.96489,1.27573,0.000792325,0.000792325,0.000792325
55,3198.24,1.19201,0.83168,1.20149,0.84793,0.76864,0.80899,0.47326,1.38417,0.92655,1.32289,0.000775822,0.000775822,0.000775822
