epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.323,1.56776,3.26825,1.38562,0.01983,0.54348,0.11708,0.07261,1.97048,3.77684,1.40177,0.00036674,0.00036674,0.00036674
2,215.958,1.57189,2.63491,1.25416,1,0.2374,0.45096,0.30669,1.87575,3.44471,1.26431,0.000735297,0.000735297,0.000735297
3,320.491,1.62976,1.95922,1.26018,0.99446,0.45045,0.48722,0.33056,1.97419,2.91445,1.26408,0.00108867,0.00108867,0.00108867
4,427.02,1.65335,1.67644,1.29948,0.7403,0.55326,0.62971,0.3732,1.98337,1.7994,1.36209,0.00142686,0.00142686,0.00142686
5,519.355,1.59484,1.51086,1.275,0.55541,0.74419,0.60254,0.30578,2.06291,3.73459,1.38239,0.00153497,0.00153497,0.00153497
6,608.914,1.53377,1.4069,1.27174,0.5913,0.74099,0.70415,0.40816,1.94685,4.24645,1.3154,0.00150197,0.00150197,0.00150197
7,708.216,1.54216,1.36091,1.27679,0.62315,0.74643,0.74585,0.36985,2.041,2.56323,1.3932,0.00146896,0.00146896,0.00146896
8,806.665,1.56623,1.27401,1.27969,0.7487,0.64223,0.73762,0.42706,1.93821,1.88573,1.29676,0.00143595,0.00143595,0.00143595
9,941.632,1.48553,1.18022,1.23158,0.7543,0.75557,0.71278,0.41748,1.93089,1.46644,1.276,0.00140295,0.00140295,0.00140295
10,1037.04,1.51557,1.21653,1.23518,0.67877,0.69131,0.73674,0.44638,1.79006,1.85714,1.22879,0.00136994,0.00136994,0.00136994
11,1136.95,1.49035,1.19351,1.24579,0.74412,0.79566,0.71001,0.39528,1.81327,1.22559,1.22022,0.00133693,0.00133693,0.00133693
12,1224.43,1.43532,1.1373,1.19944,0.64397,0.75823,0.74538,0.45311,1.70423,1.55337,1.18998,0.00130393,0.00130393,0.00130393
13,1309.49,1.47059,1.13386,1.2282,0.71198,0.70769,0.70763,0.38687,2.13299,1.42241,1.35516,0.00127092,0.00127092,0.00127092
14,1393.14,1.45706,1.10453,1.18585,0.72467,0.72982,0.70972,0.40729,2.0391,1.44167,1.32602,0.00123791,0.00123791,0.00123791
15,1478.59,1.44273,1.1672,1.1963,0.83263,0.73961,0.76197,0.42068,2.00481,1.15967,1.29727,0.00120491,0.00120491,0.00120491
16,1713.29,1.41825,1.08128,1.19559,0.79946,0.72018,0.74004,0.44672,1.82977,1.13531,1.23253,0.0011719,0.0011719,0.0011719
