epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.823,0,15.4805,0,0.01925,0.53354,0.04725,0.03156,2.89694,4.1121,2.11152,0.00021671,0.00021671,0.00021671
2,60.1212,0,14.543,0,0.01697,0.46411,0.02686,0.0156,3.30886,4.1548,2.25092,0.000422241,0.000422241,0.000422241
3,81.8693,0,13.4761,0,0.01705,0.46504,0.02456,0.01258,3.14944,4.10247,1.94583,0.000598891,0.000598891,0.000598891
4,103.95,0,12.5338,0,0.01531,0.44967,0.02099,0.00878,2.96984,3.99956,1.90113,0.00074666,0.00074666,0.00074666
5,126.8,0,11.8192,0,0.01326,0.39561,0.01521,0.00564,3.07625,4.01616,1.96502,0.000865548,0.000865548,0.000865548
6,148.866,0,11.2107,0,0.00772,0.21279,0.00609,0.00194,3.53409,4.05111,2.22903,0.000955556,0.000955556,0.000955556
7,171.37,0,10.679,0,0.00679,0.18483,0.00498,0.00151,3.75271,4.10326,2.38938,0.00101668,0.00101668,0.00101668
8,191.796,0,10.268,0,0.00538,0.14429,0.00355,0.00073,3.83867,4.14861,2.47207,0.000944981,0.000944981,0.000944981
9,212.853,0,9.94715,0,0.00424,0.1109,0.00331,0.00073,4.15033,4.13821,2.58402,0.000841835,0.000841835,0.000841835
10,235.233,0,9.66255,0,0.0055,0.14336,0.004,0.00096,4.27002,4.09459,2.64814,0.000738689,0.000738689,0.000738689
11,256.044,0,9.423,0,0.00559,0.1488,0.00746,0.00133,4.2183,4.09399,2.64767,0.000635544,0.000635544,0.000635544
12,277.394,0,9.22455,0,0.00617,0.16774,0.01179,0.00185,4.07715,4.11052,2.63544,0.000532398,0.000532398,0.000532398
13,299.124,0,9.07223,0,0.00688,0.18576,0.00477,0.00129,4.11505,4.10057,2.65664,0.000429253,0.000429253,0.000429253
14,319.917,0,8.9635,0,0.00632,0.17396,0.00445,0.00133,4.19315,4.09568,2.67221,0.000326107,0.000326107,0.000326107
15,351.477,0,8.86196,0,0.00651,0.18297,0.00471,0.00137,4.19642,4.09195,2.67721,0.000222961,0.000222961,0.000222961
16,373.306,0,8.80963,0,0.00646,0.18748,0.00477,0.00125,4.19372,4.08501,2.67742,0.000119816,0.000119816,0.000119816
